Date,High,High Change
2024-03-05,184.59,-15.159999999999997
2024-03-06,181.58,-3.009999999999991
2024-03-07,180.04,-1.5400000000000205
2024-03-08,182.73,2.6899999999999977
2024-03-11,182.87,0.14000000000001478
2024-03-12,179.43,-3.4399999999999977
2024-03-13,176.05,-3.3799999999999955
2024-03-14,171.17,-4.880000000000024
2024-03-15,165.18,-5.989999999999981
2024-03-18,174.72,9.539999999999992
2024-03-19,172.82,-1.9000000000000057
2024-03-20,176.25,3.430000000000007
2024-03-21,178.18,1.9300000000000068
2024-03-22,171.2,-6.980000000000018
2024-03-25,175.24,4.0400000000000205
2024-03-26,184.25,9.009999999999991
2024-03-27,181.91,-2.3400000000000034
2024-03-28,179.57,-2.3400000000000034
2024-04-01,176.75,-2.819999999999993
2024-04-02,167.69,-9.060000000000002
2024-04-03,168.82,1.1299999999999955
2024-04-04,177.19,8.370000000000005
2024-04-05,170.86,-6.329999999999984
2024-04-08,174.5,3.6399999999999864
2024-04-09,179.22,4.719999999999999
2024-04-10,174.93,-4.289999999999992
2024-04-11,175.88,0.9499999999999886
2024-04-12,173.81,-2.069999999999993
2024-04-15,170.69,-3.1200000000000045
2024-04-16,158.19,-12.5
2024-04-17,158.33,0.14000000000001478
2024-04-18,152.2,-6.130000000000024
2024-04-19,150.94,-1.259999999999991
2024-04-22,144.44,-6.5
2024-04-23,147.26,2.819999999999993
2024-04-24,167.97,20.710000000000008
2024-04-25,170.88,2.9099999999999966
2024-04-26,172.12,1.240000000000009
2024-04-29,198.87,26.75
2024-04-30,190.95,-7.920000000000016
2024-05-01,185.86,-5.089999999999975
2024-05-02,184.6,-1.2600000000000193
2024-05-03,184.78,0.18000000000000682
2024-05-06,187.56,2.780000000000001
2024-05-07,183.26,-4.300000000000011
2024-05-08,176.06,-7.199999999999989
2024-05-09,175.62,-0.4399999999999977
2024-05-10,173.06,-2.5600000000000023
2024-05-13,175.4,2.3400000000000034
2024-05-14,179.49,4.090000000000003
2024-05-15,180.0,0.5099999999999909
2024-05-16,175.79,-4.210000000000008
2024-05-17,179.63,3.8400000000000034
2024-05-20,177.75,-1.8799999999999955
2024-05-21,186.88,9.129999999999995
2024-05-22,183.8,-3.079999999999984
2024-05-23,181.9,-1.9000000000000057
2024-05-24,180.08,-1.8199999999999932
2024-05-28,178.25,-1.8300000000000125
2024-05-29,178.15,-0.09999999999999432
2024-05-30,182.67,4.519999999999982
2024-05-31,180.32,-2.3499999999999943
2024-06-03,182.64,2.319999999999993
2024-06-04,177.76,-4.8799999999999955
2024-06-05,176.15,-1.6099999999999852
2024-06-06,179.73,3.579999999999984
2024-06-07,179.35,-0.37999999999999545
2024-06-10,178.57,-0.7800000000000011
2024-06-11,174.75,-3.819999999999993
2024-06-12,180.55,5.800000000000011
2024-06-13,191.08,10.530000000000001
2024-06-14,186.0,-5.0800000000000125
2024-06-17,188.81,2.8100000000000023
2024-06-18,187.2,-1.6100000000000136
2024-06-20,185.21,-1.9899999999999807
2024-06-21,183.95,-1.2600000000000193
2024-06-24,188.8,4.850000000000023
2024-06-25,187.97,-0.8300000000000125
2024-06-26,197.76,9.789999999999992
2024-06-27,198.72,0.960000000000008
2024-06-28,203.2,4.47999999999999
2024-07-01,213.23,10.030000000000001
2024-07-02,231.3,18.07000000000002
2024-07-03,248.35,17.049999999999983
2024-07-05,252.37,4.02000000000001
2024-07-08,259.44,7.069999999999993
2024-07-09,265.61,6.170000000000016
2024-07-10,267.59,1.9799999999999613
2024-07-11,271.0,3.410000000000025
2024-07-12,251.84,-19.159999999999997
2024-07-15,265.6,13.76000000000002
2024-07-16,258.62,-6.980000000000018
2024-07-17,258.47,-0.14999999999997726
2024-07-18,257.14,-1.330000000000041
2024-07-19,249.44,-7.699999999999989
2024-07-22,253.21,3.7700000000000102
2024-07-23,255.76,2.549999999999983
2024-07-24,225.99,-29.769999999999982
2024-07-25,226.0,0.009999999999990905
2024-07-26,222.28,-3.719999999999999
2024-07-29,234.27,11.990000000000009
2024-07-30,232.41,-1.8600000000000136
2024-07-31,234.68,2.2700000000000102
2024-08-01,231.87,-2.8100000000000023
2024-08-02,216.13,-15.740000000000009
2024-08-05,203.88,-12.25
2024-08-06,202.9,-0.9799999999999898
2024-08-07,203.49,0.5900000000000034
2024-08-08,200.7,-2.7900000000000205
2024-08-09,200.88,0.18000000000000682
2024-08-12,199.26,-1.6200000000000045
2024-08-13,208.49,9.230000000000018
2024-08-14,208.44,-0.05000000000001137
2024-08-15,215.88,7.439999999999998
2024-08-16,219.8,3.920000000000016
2024-08-19,222.98,3.1799999999999784
2024-08-20,228.22,5.240000000000009
2024-08-21,224.66,-3.5600000000000023
2024-08-22,224.8,0.14000000000001478
2024-08-23,221.48,-3.3200000000000216
2024-08-26,219.09,-2.3899999999999864
2024-08-27,215.66,-3.430000000000007
2024-08-28,211.84,-3.819999999999993
2024-08-29,214.89,3.049999999999983
2024-08-30,214.57,-0.3199999999999932
2024-09-03,219.9,5.3300000000000125
2024-09-04,222.22,2.319999999999993
2024-09-05,235.0,12.780000000000001
2024-09-06,233.6,-1.4000000000000057
2024-09-09,219.87,-13.72999999999999
2024-09-10,226.4,6.530000000000001
2024-09-11,228.47,2.069999999999993
2024-09-12,231.45,2.9799999999999898
2024-09-13,232.67,1.2199999999999989
2024-09-16,229.96,-2.7099999999999795
2024-09-17,234.57,4.609999999999985
2024-09-18,235.68,1.1100000000000136
2024-09-19,244.24,8.560000000000002
2024-09-20,243.99,-0.25
2024-09-23,250.0,6.009999999999991
2024-09-24,257.19,7.189999999999998
2024-09-25,257.05,-0.13999999999998636
2024-09-26,261.75,4.699999999999989
2024-09-27,260.7,-1.0500000000000114
2024-09-30,264.86,4.160000000000025
2024-10-01,263.98,-0.8799999999999955
2024-10-02,251.16,-12.820000000000022
2024-10-03,249.79,-1.3700000000000045
2024-10-04,250.96,1.170000000000016
2024-10-07,249.83,-1.1299999999999955
2024-10-08,246.21,-3.6200000000000045
2024-10-09,247.43,1.2199999999999989
2024-10-10,242.79,-4.640000000000015
2024-10-11,223.34,-19.44999999999999
2024-10-14,221.91,-1.4300000000000068
2024-10-15,224.26,2.3499999999999943
2024-10-16,222.82,-1.4399999999999977
2024-10-17,222.08,-0.7399999999999807
2024-10-18,222.28,0.19999999999998863
2024-10-21,220.48,-1.8000000000000114
2024-10-22,218.22,-2.259999999999991
2024-10-23,218.72,0.5
2024-10-24,262.12,43.400000000000006
2024-10-25,269.49,7.3700000000000045
2024-10-28,273.54,4.050000000000011
2024-10-29,264.98,-8.560000000000002
2024-10-30,263.35,-1.6299999999999955
2024-10-31,259.75,-3.6000000000000227
2024-11-01,254.0,-5.75
2024-11-04,248.9,-5.099999999999994
2024-11-05,255.28,6.3799999999999955
2024-11-06,289.59,34.309999999999974
2024-11-07,299.75,10.160000000000025
2024-11-08,328.71,28.95999999999998
2024-11-11,358.64,29.930000000000007
2024-11-12,345.84,-12.800000000000011
2024-11-13,344.6,-1.2399999999999523
2024-11-14,329.98,-14.620000000000005
2024-11-15,324.68,-5.300000000000011
2024-11-18,348.55,23.870000000000005
2024-11-19,347.38,-1.170000000000016
2024-11-20,346.6,-0.7799999999999727
2024-11-21,347.99,1.3899999999999864
2024-11-22,361.53,13.539999999999964
2024-11-25,361.93,0.4000000000000341
